epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,2068.13,0.73923,0.46855,0.00701,0.9407,0.91474,0.95119,0.76256,0.86471,0.5403,0.0123,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
62,2099.95,0.7445,0.48835,0.00715,0.92264,0.9242,0.95381,0.76597,0.86614,0.53959,0.01238,0.00212957,0.000709856,0.00212957,0.000709856,0.00212957,0.000709856,0.00212957,0.000709856
63,2130.67,0.74044,0.47308,0.00703,0.91733,0.92579,0.95197,0.77542,0.8675,0.54106,0.01235,0.0020942,0.000698066,0.0020942,0.000698066,0.0020942,0.000698066,0.0020942,0.000698066
64,2166.74,0.72391,0.46075,0.0069,0.93653,0.92702,0.95521,0.77071,0.86931,0.52392,0.01222,0.00205883,0.000686277,0.00205883,0.000686277,0.00205883,0.000686277,0.00205883,0.000686277
65,2193.98,0.71517,0.43954,0.00695,0.92358,0.91246,0.94893,0.76422,0.87436,0.5466,0.01265,0.00202346,0.000674488,0.00202346,0.000674488,0.00202346,0.000674488,0.00202346,0.000674488
66,2231.21,0.70613,0.44354,0.00678,0.92426,0.914,0.95082,0.76816,0.84705,0.53183,0.01221,0.0019881,0.000662699,0.0019881,0.000662699,0.0019881,0.000662699,0.0019881,0.000662699
67,2257.9,0.70449,0.45421,0.00666,0.91974,0.9297,0.95697,0.77159,0.87583,0.52605,0.01252,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
68,2283.9,0.73004,0.45306,0.00704,0.9639,0.89439,0.95951,0.7776,0.88258,0.50898,0.01261,0.00191736,0.00063912,0.00191736,0.00063912,0.00191736,0.00063912,0.00191736,0.00063912
69,2309.8,0.70722,0.45757,0.00708,0.94794,0.90459,0.95156,0.76991,0.86669,0.53413,0.01237,0.00188199,0.000627331,0.00188199,0.000627331,0.00188199,0.000627331,0.00188199,0.000627331
70,2336.39,0.72211,0.45056,0.00672,0.94249,0.90429,0.95264,0.76262,0.88163,0.52352,0.01258,0.00184663,0.000615542,0.00184663,0.000615542,0.00184663,0.000615542,0.00184663,0.000615542
